ID товара;Название препарата;Рецептурность препарата;Производитель;Активное вещество;Цена;Старая цена;Ссылка на картинку;Ссылка на товар;Название региона
71fb6055-42c7-4fe9-9b1d-806b6422220a;Тирзетта Раствор для подкожного введения 5 мг 0,5 мл 4 шт;Да;Биохимик;Тирзепатид;9189.00;10210.00;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/3AFsu5UBAi6hE-Zkizeq-1000x1000;https://gorzdrav.org/spb/p/tirzetta-rr-p-k-vved-5-mg-0-5-ml-4-664657/;Россия
2ae4b4b8-ed55-4d1e-a03a-48908a2ce365;Тирзетта Раствор для подкожного введения 2,5 мг 0,5 мл 4 шт;Да;Биохимик;Тирзепатид;5545.00;7545.00;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/zjxsu5UBAi6hE-ZkNBOt-1000x1000;https://gorzdrav.org/spb/p/tirzetta-rr-p-k-vved-2-5-mg-0-5-ml-4-664656/;Россия
69c37f3e-baa7-4ca8-94a3-f5d627a83298;Набор из двух упаковок Семавик Раствор 0,25мг/0,5мг/1мг/доза 3мл+Игла одноразовая 9 шт;Да;;;10500.00;11500.00;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/dIvB4pkBjIJXAzWhPcqe-1000x1000;https://gorzdrav.org/spb/p/bundle_semavik-rr-p-k-vved-0-25-0-5-1mg-doza-3ml-n1-shpricruchka-igla-odnoraz-n9-668719-2/;
3753ff27-b02f-4562-a5ce-2b57377bd7db;Набор из трех упаковок Семавик Раствор для подкожного введения 1,34 мг/мл шприц-ручка 3 мл 1 шт + иглы 9 шт;Да;;;15250.00;17250.00;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/kC4uLpwBO1hvZDjOtSGi-1000x1000;https://gorzdrav.org/spb/p/bundle_semavik-rr-p-k-vved-0-25-0-5-1mg-doza-3ml-n1-shpricruchka-igla-odnoraz-n9-668719-3/;
58df0381-eefc-40a6-8331-e368a0218ea7;Семавик Раствор для подкожного введения 1,34 мг/мл шприц-ручка 3 мл 1 шт + иглы 9 шт;Да;Герофарм;Семаглутид;5750.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/RGxtuJkBu6LHc-yH4DbT-1191x1191;https://gorzdrav.org/spb/p/semavik-rr-p-k-vved-0-25-0-5-1mg-doza-3ml-n1-shpricruchka-igla-odnoraz-n9-668719/;Россия
c40dd94f-c91e-467e-bd06-6b1a497fe4f7;Тирзетта Раствор для подкожного введения 7,5 мг 0,5 мл 4 шт;Да;Биохимик;Тирзепатид;11468.70;12743.00;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/jNNtu5UBAi6hE-ZkBiAF-1000x1000;https://gorzdrav.org/spb/p/tirzetta-rr-p-k-vved-7-5-mg-0-5-ml-4-664658/;Россия
d203ad0a-e0d5-4f0e-9c2a-e985db0b4150;Форсига Таблетки покрытые пленочной оболочкой 10 мг 30 шт;Да;AstraZeneca;Дапаглифлозин;2550.60;2834.00;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/Ra8PoZcB2BGN4fsdOB5a-2000x2000;https://gorzdrav.org/spb/p/forsiga-tabl-10mg-n30-49574/;Россия
15794c60-d1de-46da-bf65-13173441fb01;Седжаро Раствор для подкожного введения 5 мг/доза шприц-ручка 2,4 мл 1 шт + игла 4 шт;Да;Герофарм;Тирзепатид;7502.00;8752.00;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/S7YHYZgBEl21vw0WAZqU-1191x1191;https://gorzdrav.org/spb/p/sedzharo-rr-dlja-p-k-vved-5-mg-doza-shpricruchka-2-4-ml-1-igla-4-666581/;Россия
f5a976be-feef-4600-844a-eca21dbe5f71;Набор из двух упаковок Семавик Некст раствор 1 мг шприц-ручка 3 мл 1 шт + игла одноразовая 4 шт.;Да;;;8892.00;9892.00;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/4Leo4pkBBFTqaCxSL1ae-1000x1000;https://gorzdrav.org/spb/p/bundle_semavik-nekst-0-001-doza-3ml-n1-shpricruchka-rr-p-k-igla-odnoraz-n4-667602-2/;
4558b076-f764-4366-a4e9-46e43ad75426;Набор из трех упаковок Семавик Некст Раствор для подкожного введения 1 мг/доза шприц-ручка 3 мл 1 шт + иглы 4 шт;Да;;;13338.00;14838.00;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/NRMWLpwBOkTyP3bfGdsx-1000x1000;https://gorzdrav.org/spb/p/bundle_semavik-nekst-0-001-doza-3ml-n1-shpricruchka-rr-p-k-igla-odnoraz-n4-667602-3/;
